latitude,longitude,month,year,INCENDIE_count,ALARMES_INCENDIES_count,total_crimes,vols_count,Mefait_count,Vol_de_vehicule_count,Introduction_count,Vol_moteur_count,Infractions_entrainant_count,caserne_count,sum_etage_hors_sol,sum_nombre_logement,min_annee_construction,max_annee_construction,avg_annee_construction,sum_superficie_terrain,sum_superficie_batiment,area,population,dwellings,households,averagehouseholdsize,averageage,averagesizeofcensusfamilies,workers
45.5,-73.75,1,2016,0,1,1,0,0,0,0,1,0,0,64,1,1959,2010,1981.980392156863,449902,132825,9.51679,1049,362,354,2.9,34.1,3.2,265
45.5,-73.75,10,2016,0,1,0,0,0,0,0,0,0,0,64,1,1959,2010,1981.980392156863,449902,132825,9.51679,1049,362,354,2.9,34.1,3.2,265
45.5,-73.75,6,2020,0,0,1,0,0,1,0,0,0,0,64,1,1959,2010,1981.980392156863,449902,132825,9.51679,1049,362,354,2.9,34.1,3.2,265
45.5,-73.75,2,2015,0,2,0,0,0,0,0,0,0,0,64,1,1959,2010,1981.980392156863,449902,132825,9.51679,1049,362,354,2.9,34.1,3.2,265
45.5,-73.75,8,2019,0,0,2,0,0,0,1,1,0,0,64,1,1959,2010,1981.980392156863,449902,132825,9.51679,1049,362,354,2.9,34.1,3.2,265
45.5,-73.75,2,2017,0,0,3,0,2,0,1,0,0,0,64,1,1959,2010,1981.980392156863,449902,132825,9.51679,1049,362,354,2.9,34.1,3.2,265
45.5,-73.75,5,2017,0,0,1,0,0,1,0,0,0,0,64,1,1959,2010,1981.980392156863,449902,132825,9.51679,1049,362,354,2.9,34.1,3.2,265
45.5,-73.75,3,2018,0,0,1,0,0,1,0,0,0,0,64,1,1959,2010,1981.980392156863,449902,132825,9.51679,1049,362,354,2.9,34.1,3.2,265
45.5,-73.75,3,2015,0,3,2,0,1,0,0,1,0,0,64,1,1959,2010,1981.980392156863,449902,132825,9.51679,1049,362,354,2.9,34.1,3.2,265
45.5,-73.75,8,2018,0,0,1,0,0,1,0,0,0,0,64,1,1959,2010,1981.980392156863,449902,132825,9.51679,1049,362,354,2.9,34.1,3.2,265
45.5,-73.75,6,2017,0,5,0,0,0,0,0,0,0,0,64,1,1959,2010,1981.980392156863,449902,132825,9.51679,1049,362,354,2.9,34.1,3.2,265
45.5,-73.75,4,2020,0,2,3,0,0,0,0,3,0,0,64,1,1959,2010,1981.980392156863,449902,132825,9.51679,1049,362,354,2.9,34.1,3.2,265
45.5,-73.75,11,2016,0,1,0,0,0,0,0,0,0,0,64,1,1959,2010,1981.980392156863,449902,132825,9.51679,1049,362,354,2.9,34.1,3.2,265
45.5,-73.75,12,2016,0,1,2,0,0,2,0,0,0,0,64,1,1959,2010,1981.980392156863,449902,132825,9.51679,1049,362,354,2.9,34.1,3.2,265
45.5,-73.75,11,2017,0,0,1,0,0,0,1,0,0,0,64,1,1959,2010,1981.980392156863,449902,132825,9.51679,1049,362,354,2.9,34.1,3.2,265
45.5,-73.75,3,2017,0,0,1,0,1,0,0,0,0,0,64,1,1959,2010,1981.980392156863,449902,132825,9.51679,1049,362,354,2.9,34.1,3.2,265
45.5,-73.75,8,2015,1,2,0,0,0,0,0,0,0,0,64,1,1959,2010,1981.980392156863,449902,132825,9.51679,1049,362,354,2.9,34.1,3.2,265
45.5,-73.75,1,2018,0,3,1,0,0,1,0,0,0,0,64,1,1959,2010,1981.980392156863,449902,132825,9.51679,1049,362,354,2.9,34.1,3.2,265
45.5,-73.75,11,2018,1,0,1,0,0,0,0,1,0,0,64,1,1959,2010,1981.980392156863,449902,132825,9.51679,1049,362,354,2.9,34.1,3.2,265
45.5,-73.75,9,2017,0,2,0,0,0,0,0,0,0,0,64,1,1959,2010,1981.980392156863,449902,132825,9.51679,1049,362,354,2.9,34.1,3.2,265
45.5,-73.75,4,2018,0,4,1,0,0,1,0,0,0,0,64,1,1959,2010,1981.980392156863,449902,132825,9.51679,1049,362,354,2.9,34.1,3.2,265
45.5,-73.75,12,2019,0,0,1,0,0,1,0,0,0,0,64,1,1959,2010,1981.980392156863,449902,132825,9.51679,1049,362,354,2.9,34.1,3.2,265
45.5,-73.75,7,2015,0,0,1,0,1,0,0,0,0,0,64,1,1959,2010,1981.980392156863,449902,132825,9.51679,1049,362,354,2.9,34.1,3.2,265
45.5,-73.75,4,2019,0,0,1,0,0,0,0,1,0,0,64,1,1959,2010,1981.980392156863,449902,132825,9.51679,1049,362,354,2.9,34.1,3.2,265
45.5,-73.75,8,2020,0,0,1,0,0,1,0,0,0,0,64,1,1959,2010,1981.980392156863,449902,132825,9.51679,1049,362,354,2.9,34.1,3.2,265
